common.name,species.name,1905,1906,1907,1910,1911,1929,1930,1932,1944,1946,1948,1949,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Tufted Titmouse,Baeolophus bicolor,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar Waxwing,Bombycilla cedrorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,35,0,0,0,0,2,0,23,0,0,0,0,0,0,16,10,5,139,75,37,32,52,16,1,37,380,14,41,75,19,20,0,32,0,47,36,10,206,56,124,41,77,14,0,58,45,219,50,18,167,103,58,18,40,2,13,16,3
Bohemian Waxwing,Bombycilla garrulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,1,0,0,0,0,0,120,0,0,53,51,0,0,0,0,0,2,50,0,0,77,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruffed Grouse,Bonasa umbellus,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada Goose,Branta canadensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,57,10,1,12,0,14,105,346,166,2098,21,69,0,385,673,1597,920,184,34,3013,889,1215,591,38,934,4524,4724,92,4101,2753,342,1892,173,1842,121,344,76,358,282,165,98,434,1043,564,332,305,116
Snowy Owl,Bubo scandiacus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Horned Owl,Bubo virginianus,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,5,5,5,1,3,2,4,5,4,2,2,1,6,1,1,1,0,0,2,3,2,1,2,0,5,4,2,4,2,1,1,2,2,2,1,6,2,3,3,2,4,1,1,5,3,1
Bufflehead,Bucephala albeola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Goldeneye,Bucephala clangula,0,0,0,0,0,0,0,0,10,0,75,0,43,175,500,169,178,79,59,240,39,126,276,100,42,150,13,220,160,37,99,7,38,0,7,180,240,57,0,51,146,158,27,20,0,1,0,5,65,0,41,65,14,110,134,35,3,15,49,20,83,0,37,60,210,22,5,141,63,50,76,0,66,349,113,113,18,213,153,96,46
Common/Barrow's Goldeneye,Bucephala clangula/islandica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red-tailed Hawk,Buteo jamaicensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,5,1,3,2,5,9,6,19,2,6,2,3,6,4,9,8,3,16,3,16,16,11,18,14,22,27,32,17,17,18,13,2,24,18,10,19,15,24,31,27,14,37,24,25,23,26
Rough-legged Hawk,Buteo lagopus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,1,1,0,0,0,3,0,0,1,1,0,0,4,0,1,0,2,1,0,0,0,0,13,0,1,0,0,0,0,0,2,0,0,0
