common.name,species.name,1901,1911,1913,1914,1915,1916,1917,1918,1919,1921,1922,1935,1936,1937,1938,1939,1942,1943,1944,1945,1946,1947,1948,1949,1950,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Green-winged Teal (Eurasian),Anas crecca crecca/nimia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue-winged Teal,Anas discors,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurasian Wigeon,Anas penelope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mallard,Anas platyrhynchos,0,0,0,0,0,0,50,0,0,3,0,18,5,94,258,173,0,0,0,15,40,80,105,18,164,224,827,185,203,183,95,173,211,65,160,190,200,190,240,90,520,220,170,240,350,340,701,1510,577,681,1248,685,557,760,1068,771,866,1031,1821,2296,1360,1544,1146,893,1378,1097,1237,1232,782,1053,990,1189,1242,1598,1454,1853,1325,1364,1428,986,1381,1149,1171,1162,1193,892,1052,892,1136,1624,1043,881,792
American Black Duck,Anas rubripes,0,0,0,0,0,3,25,3,3,212,0,13,0,82,302,204,0,0,0,340,77,404,777,29,271,1116,2094,1068,185,1573,593,642,702,373,1155,330,340,240,200,300,160,180,180,330,110,293,331,474,337,218,520,468,247,291,292,204,371,193,445,789,355,320,392,104,343,279,185,135,127,338,241,115,59,87,94,176,130,58,102,41,40,26,51,105,61,24,75,28,21,28,39,3,7
American Black Duck x Mallard (hybrid),Anas rubripes x platyrhynchos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadwall,Anas strepera,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,2,0,0,0,2,1,0,2,0,1,0,3,1,0,3,0,0,0,0,1,0,0,0,0,1,1,8,7,0,0,1,1,3,1,7,97,1,20,5,4,2,50,3,4,3,50,394,5,109,12,2,0,1,1,8,13,13,10,1,17,26,67,61,108,3,59
duck sp.,Anatinae sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Greater White-fronted Goose,Anser albifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Domestic goose sp. (Domestic type) x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
