common.name,species.name,1910,1912,1913,1914,1915,1916,1920,1922,1923,1924,1925,1928,1930,1931,1937,1938,1939,1940,1942,1943,1944,1945,1946,1947,1948,1949,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
Brown Creeper,Certhia americana,0,0,11,2,2,1,1,3,0,1,2,3,3,2,3,0,11,2,11,11,3,1,7,7,6,5,10,1,4,3,3,1,7,8,8,4,10,6,6,12,22,14,24,36,57,68,53,66,40,47,17,16,50,40,33,27,20,24,8
Killdeer,Charadrius vociferus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,2,2,3,4,0,2,8,11,0,7,15,1,2,0,1,1,1,8,11,7,0
Bonaparte's Gull,Chroicocephalus philadelphia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Northern Harrier,Circus cyaneus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Marsh Wren,Cistothorus palustris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Evening Grosbeak,Coccothraustes vespertinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,43,0,1,0,3,0,5,15,72,3,110,58,97,6,178,0,99,66,20,44,37,1,67,0,244
Northern Flicker (Red-shafted),Colaptes auratus,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,36,45
Northern Flicker (Yellow-shafted),Colaptes auratus auratus/luteus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6,2,2,5,8,9,5,13,9,17,23,40,19,51,39,25,16,38,22,86,43,38,0,0,0
Northern Bobwhite,Colinus virginianus,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,0,45,0,8,12,26,26,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,4,0,6,3,0,0,0,3,0,0,0,1,0,0,0,0
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677,725,1093,2071,2232,1541,1132,1721,1434,1237,849,1209
